Well,API,Stage,OWP,Initial ISIP,Final ISIP
KJ 1A1-17-722,4304756539,1,1989,3496,4045
KJ 1A1-17-722,4304756539,2,3311,3652,3901
KJ 1A1-17-722,4304756539,3,3463,3691,4121
KJ 1A1-17-722,4304756539,4,N/A,N/A,N/A
KJ 1A1-17-722,4304756539,5,3554,3838,4399
KJ 1A1-17-722,4304756539,6,3518,3602,4280
KJ 1A1-17-722,4304756539,7,3156,3268,3466
KJ 1A1-17-722,4304756539,8,2880,2831,3047
KJ 1A1-17-722,4304756539,9,N/A,N/A,N/A
KJ 1A1-17-722,4304756539,10,2624,3140,3584
KJ 1A1-17-722,4304756539,11,2754,2973,3504
KJ 1A1-17-722,4304756539,12,N/A,N/A,N/A
